nama_variabel,jenis_kelamin,tahun,persen,provinsi
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,2.34,ACEH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,1.07,SUMATERA UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,0.96,SUMATERA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,1,RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,2.31,JAMBI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,1.61,SUMATERA SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,2.86,BENGKULU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,3.59,LAMPUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,2.63,KEP. BANGKA BELITUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,0.98,KEP. RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,0.31,DKI JAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,1.88,JAWA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,7.87,JAWA TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,6.45,DI YOGYAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,9.18,JAWA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,3,BANTEN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,6.77,BALI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,14.4,NUSA TENGGARA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,6.34,NUSA TENGGARA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,8.21,KALIMANTAN BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,1.09,KALIMANTAN TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,2.41,KALIMANTAN SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,1.4,KALIMANTAN TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2021,3.61,KALIMANTAN UTARA
