nama_variabel,jenis_kelamin,tahun,angka,provinsi
Angka Harapan Lama Sekolah,Perempuan,2021,14.53,ACEH
Angka Harapan Lama Sekolah,Perempuan,2021,13.48,SUMATERA UTARA
Angka Harapan Lama Sekolah,Perempuan,2021,14.61,SUMATERA BARAT
Angka Harapan Lama Sekolah,Perempuan,2021,13.55,RIAU
Angka Harapan Lama Sekolah,Perempuan,2021,13.24,JAMBI
Angka Harapan Lama Sekolah,Perempuan,2021,12.63,SUMATERA SELATAN
Angka Harapan Lama Sekolah,Perempuan,2021,14.06,BENGKULU
Angka Harapan Lama Sekolah,Perempuan,2021,12.95,LAMPUNG
Angka Harapan Lama Sekolah,Perempuan,2021,12.21,KEP. BANGKA BELITUNG
Angka Harapan Lama Sekolah,Perempuan,2021,13.15,KEPULAUAN RIAU
Angka Harapan Lama Sekolah,Perempuan,2021,13.03,DKI JAKARTA
Angka Harapan Lama Sekolah,Perempuan,2021,12.68,JAWA BARAT
Angka Harapan Lama Sekolah,Perempuan,2021,12.93,JAWA TENGAH
Angka Harapan Lama Sekolah,Perempuan,2021,15.64,D I YOGYAKARTA
Angka Harapan Lama Sekolah,Perempuan,2021,13.47,JAWA TIMUR
Angka Harapan Lama Sekolah,Perempuan,2021,13.16,BANTEN
Angka Harapan Lama Sekolah,Perempuan,2021,13.37,BALI
Angka Harapan Lama Sekolah,Perempuan,2021,13.84,NUSA TENGGARA BARAT
Angka Harapan Lama Sekolah,Perempuan,2021,13.52,NUSA TENGGARA TIMUR
Angka Harapan Lama Sekolah,Perempuan,2021,12.94,KALIMANTAN BARAT
Angka Harapan Lama Sekolah,Perempuan,2021,12.67,KALIMANTAN TENGAH
Angka Harapan Lama Sekolah,Perempuan,2021,12.81,KALIMANTAN SELATAN
Angka Harapan Lama Sekolah,Perempuan,2021,13.88,KALIMANTAN TIMUR
Angka Harapan Lama Sekolah,Perempuan,2021,13.26,KALIMANTAN UTARA
Angka Harapan Lama Sekolah,Perempuan,2021,13.22,SULAWESI UTARA
Angka Harapan Lama Sekolah,Perempuan,2021,13.62,SULAWESI TENGAH
Angka Harapan Lama Sekolah,Perempuan,2021,13.81,SULAWESI SELATAN
Angka Harapan Lama Sekolah,Perempuan,2021,13.91,SULAWESI TENGGARA
Angka Harapan Lama Sekolah,Perempuan,2021,13.79,GORONTALO
Angka Harapan Lama Sekolah,Perempuan,2021,13.17,SULAWESI BARAT
Angka Harapan Lama Sekolah,Perempuan,2021,14.29,MALUKU
Angka Harapan Lama Sekolah,Perempuan,2021,13.68,MALUKU UTARA
Angka Harapan Lama Sekolah,Perempuan,2021,12.93,PAPUA BARAT
Angka Harapan Lama Sekolah,Perempuan,2021,10.99,PAPUA
Angka Harapan Lama Sekolah,Perempuan,2021,13.22,INDONESIA
Angka Harapan Lama Sekolah,Laki-laki,2021,14.26,ACEH
Angka Harapan Lama Sekolah,Laki-laki,2021,13.14,SUMATERA UTARA
Angka Harapan Lama Sekolah,Laki-laki,2021,13.7,SUMATERA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2021,13.2,RIAU
Angka Harapan Lama Sekolah,Laki-laki,2021,12.95,JAMBI
Angka Harapan Lama Sekolah,Laki-laki,2021,12.51,SUMATERA SELATAN
Angka Harapan Lama Sekolah,Laki-laki,2021,13.62,BENGKULU
Angka Harapan Lama Sekolah,Laki-laki,2021,12.64,LAMPUNG
Angka Harapan Lama Sekolah,Laki-laki,2021,12.11,KEP. BANGKA BELITUNG
Angka Harapan Lama Sekolah,Laki-laki,2021,12.85,KEPULAUAN RIAU
Angka Harapan Lama Sekolah,Laki-laki,2021,13.1,DKI JAKARTA
Angka Harapan Lama Sekolah,Laki-laki,2021,12.59,JAWA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2021,12.71,JAWA TENGAH
Angka Harapan Lama Sekolah,Laki-laki,2021,15.67,D I YOGYAKARTA
Angka Harapan Lama Sekolah,Laki-laki,2021,13.25,JAWA TIMUR
Angka Harapan Lama Sekolah,Laki-laki,2021,12.9,BANTEN
Angka Harapan Lama Sekolah,Laki-laki,2021,13.49,BALI
Angka Harapan Lama Sekolah,Laki-laki,2021,14.08,NUSA TENGGARA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2021,13.09,NUSA TENGGARA TIMUR
Angka Harapan Lama Sekolah,Laki-laki,2021,12.62,KALIMANTAN BARAT
Angka Harapan Lama Sekolah,Laki-laki,2021,12.85,KALIMANTAN TENGAH
Angka Harapan Lama Sekolah,Laki-laki,2021,12.78,KALIMANTAN SELATAN
Angka Harapan Lama Sekolah,Laki-laki,2021,13.8,KALIMANTAN TIMUR
Angka Harapan Lama Sekolah,Laki-laki,2021,12.94,KALIMANTAN UTARA
Angka Harapan Lama Sekolah,Laki-laki,2021,12.77,SULAWESI UTARA
Angka Harapan Lama Sekolah,Laki-laki,2021,13.08,SULAWESI TENGAH
Angka Harapan Lama Sekolah,Laki-laki,2021,13.37,SULAWESI SELATAN
Angka Harapan Lama Sekolah,Laki-laki,2021,13.64,SULAWESI TENGGARA
Angka Harapan Lama Sekolah,Laki-laki,2021,12.81,GORONTALO
Angka Harapan Lama Sekolah,Laki-laki,2021,12.74,SULAWESI BARAT
Angka Harapan Lama Sekolah,Laki-laki,2021,13.83,MALUKU
Angka Harapan Lama Sekolah,Laki-laki,2021,13.73,MALUKU UTARA
Angka Harapan Lama Sekolah,Laki-laki,2021,13.48,PAPUA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2021,11.31,PAPUA
Angka Harapan Lama Sekolah,Laki-laki,2021,12.95,INDONESIA
Angka Harapan Lama Sekolah,Perempuan,2020,14.48,ACEH
Angka Harapan Lama Sekolah,Perempuan,2020,13.41,SUMATERA UTARA
Angka Harapan Lama Sekolah,Perempuan,2020,14.41,SUMATERA BARAT
Angka Harapan Lama Sekolah,Perempuan,2020,13.41,RIAU
Angka Harapan Lama Sekolah,Perempuan,2020,13.17,JAMBI
Angka Harapan Lama Sekolah,Perempuan,2020,12.62,SUMATERA SELATAN
Angka Harapan Lama Sekolah,Perempuan,2020,14,BENGKULU
Angka Harapan Lama Sekolah,Perempuan,2020,12.88,LAMPUNG
Angka Harapan Lama Sekolah,Perempuan,2020,12.14,KEP. BANGKA BELITUNG
Angka Harapan Lama Sekolah,Perempuan,2020,12.97,KEPULAUAN RIAU
Angka Harapan Lama Sekolah,Perempuan,2020,12.94,DKI JAKARTA
Angka Harapan Lama Sekolah,Perempuan,2020,12.56,JAWA BARAT
Angka Harapan Lama Sekolah,Perempuan,2020,12.79,JAWA TENGAH
Angka Harapan Lama Sekolah,Perempuan,2020,15.63,D I YOGYAKARTA
Angka Harapan Lama Sekolah,Perempuan,2020,13.19,JAWA TIMUR
Angka Harapan Lama Sekolah,Perempuan,2020,12.99,BANTEN
Angka Harapan Lama Sekolah,Perempuan,2020,13.23,BALI
Angka Harapan Lama Sekolah,Perempuan,2020,13.61,NUSA TENGGARA BARAT
Angka Harapan Lama Sekolah,Perempuan,2020,13.38,NUSA TENGGARA TIMUR
Angka Harapan Lama Sekolah,Perempuan,2020,12.89,KALIMANTAN BARAT
Angka Harapan Lama Sekolah,Perempuan,2020,12.66,KALIMANTAN TENGAH
Angka Harapan Lama Sekolah,Perempuan,2020,12.67,KALIMANTAN SELATAN
Angka Harapan Lama Sekolah,Perempuan,2020,13.87,KALIMANTAN TIMUR
Angka Harapan Lama Sekolah,Perempuan,2020,13.25,KALIMANTAN UTARA
Angka Harapan Lama Sekolah,Perempuan,2020,13.07,SULAWESI UTARA
Angka Harapan Lama Sekolah,Perempuan,2020,13.51,SULAWESI TENGAH
Angka Harapan Lama Sekolah,Perempuan,2020,13.74,SULAWESI SELATAN
Angka Harapan Lama Sekolah,Perempuan,2020,13.71,SULAWESI TENGGARA
Angka Harapan Lama Sekolah,Perempuan,2020,13.55,GORONTALO
Angka Harapan Lama Sekolah,Perempuan,2020,12.99,SULAWESI BARAT
Angka Harapan Lama Sekolah,Perempuan,2020,14.28,MALUKU
