nama_variabel,jenis_kelamin,tahun,angka,provinsi
Rata-rata Lama Sekolah,Perempuan,2021,9.22,ACEH
Rata-rata Lama Sekolah,Perempuan,2021,9.33,SUMATERA UTARA
Rata-rata Lama Sekolah,Perempuan,2021,8.96,SUMATERA BARAT
Rata-rata Lama Sekolah,Perempuan,2021,9.01,RIAU
Rata-rata Lama Sekolah,Perempuan,2021,8.23,JAMBI
Rata-rata Lama Sekolah,Perempuan,2021,8.01,SUMATERA SELATAN
Rata-rata Lama Sekolah,Perempuan,2021,8.59,BENGKULU
Rata-rata Lama Sekolah,Perempuan,2021,7.76,LAMPUNG
Rata-rata Lama Sekolah,Perempuan,2021,7.82,KEP. BANGKA BELITUNG
Rata-rata Lama Sekolah,Perempuan,2021,10.06,KEPULAUAN RIAU
Rata-rata Lama Sekolah,Perempuan,2021,10.83,DKI JAKARTA
Rata-rata Lama Sekolah,Perempuan,2021,8.23,JAWA BARAT
Rata-rata Lama Sekolah,Perempuan,2021,7.34,JAWA TENGAH
Rata-rata Lama Sekolah,Perempuan,2021,9.31,D I YOGYAKARTA
Rata-rata Lama Sekolah,Perempuan,2021,7.45,JAWA TIMUR
Rata-rata Lama Sekolah,Perempuan,2021,8.46,BANTEN
Rata-rata Lama Sekolah,Perempuan,2021,8.36,BALI
Rata-rata Lama Sekolah,Perempuan,2021,6.66,NUSA TENGGARA BARAT
Rata-rata Lama Sekolah,Perempuan,2021,7.29,NUSA TENGGARA TIMUR
Rata-rata Lama Sekolah,Perempuan,2021,6.93,KALIMANTAN BARAT
Rata-rata Lama Sekolah,Perempuan,2021,8.29,KALIMANTAN TENGAH
Rata-rata Lama Sekolah,Perempuan,2021,7.91,KALIMANTAN SELATAN
Rata-rata Lama Sekolah,Perempuan,2021,9.42,KALIMANTAN TIMUR
Rata-rata Lama Sekolah,Perempuan,2021,8.93,KALIMANTAN UTARA
Rata-rata Lama Sekolah,Perempuan,2021,9.64,SULAWESI UTARA
Rata-rata Lama Sekolah,Perempuan,2021,8.62,SULAWESI TENGAH
Rata-rata Lama Sekolah,Perempuan,2021,8.2,SULAWESI SELATAN
Rata-rata Lama Sekolah,Perempuan,2021,8.72,SULAWESI TENGGARA
Rata-rata Lama Sekolah,Perempuan,2021,8.22,GORONTALO
Rata-rata Lama Sekolah,Perempuan,2021,7.66,SULAWESI BARAT
Rata-rata Lama Sekolah,Perempuan,2021,9.95,MALUKU
Rata-rata Lama Sekolah,Perempuan,2021,8.67,MALUKU UTARA
Rata-rata Lama Sekolah,Perempuan,2021,7.53,PAPUA BARAT
Rata-rata Lama Sekolah,Perempuan,2021,6,PAPUA
Rata-rata Lama Sekolah,Perempuan,2021,8.17,INDONESIA
Rata-rata Lama Sekolah,Laki-laki,2021,9.55,ACEH
Rata-rata Lama Sekolah,Laki-laki,2021,9.84,SUMATERA UTARA
Rata-rata Lama Sekolah,Laki-laki,2021,9.18,SUMATERA BARAT
Rata-rata Lama Sekolah,Laki-laki,2021,9.41,RIAU
Rata-rata Lama Sekolah,Laki-laki,2021,8.95,JAMBI
Rata-rata Lama Sekolah,Laki-laki,2021,8.58,SUMATERA SELATAN
Rata-rata Lama Sekolah,Laki-laki,2021,9.19,BENGKULU
Rata-rata Lama Sekolah,Laki-laki,2021,8.39,LAMPUNG
Rata-rata Lama Sekolah,Laki-laki,2021,8.42,KEP. BANGKA BELITUNG
