nama_variabel,tahun,persen,provinsi
Sumbangan Pendapatan Perempuan,2021,34.67,ACEH
Sumbangan Pendapatan Perempuan,2021,36.02,SUMATERA UTARA
Sumbangan Pendapatan Perempuan,2021,37.43,SUMATERA BARAT
Sumbangan Pendapatan Perempuan,2021,28.25,RIAU
Sumbangan Pendapatan Perempuan,2021,30.44,JAMBI
Sumbangan Pendapatan Perempuan,2021,34.79,SUMATERA SELATAN
Sumbangan Pendapatan Perempuan,2021,35.07,BENGKULU
Sumbangan Pendapatan Perempuan,2021,29.39,LAMPUNG
Sumbangan Pendapatan Perempuan,2021,26.79,KEP. BANGKA BELITUNG
Sumbangan Pendapatan Perempuan,2021,28.71,KEP. RIAU
Sumbangan Pendapatan Perempuan,2021,38.36,DKI JAKARTA
Sumbangan Pendapatan Perempuan,2021,30.04,JAWA BARAT
Sumbangan Pendapatan Perempuan,2021,34.6,JAWA TENGAH
Sumbangan Pendapatan Perempuan,2021,41.26,DI YOGYAKARTA
Sumbangan Pendapatan Perempuan,2021,35.72,JAWA TIMUR
Sumbangan Pendapatan Perempuan,2021,31.95,BANTEN
Sumbangan Pendapatan Perempuan,2021,39.18,BALI
Sumbangan Pendapatan Perempuan,2021,33.09,NUSA TENGGARA BARAT
Sumbangan Pendapatan Perempuan,2021,43.78,NUSA TENGGARA TIMUR
Sumbangan Pendapatan Perempuan,2021,35.19,KALIMANTAN BARAT
Sumbangan Pendapatan Perempuan,2021,33.48,KALIMANTAN TENGAH
Sumbangan Pendapatan Perempuan,2021,36.8,KALIMANTAN SELATAN
Sumbangan Pendapatan Perempuan,2021,24.05,KALIMANTAN TIMUR
Sumbangan Pendapatan Perempuan,2021,26.92,KALIMANTAN UTARA
Sumbangan Pendapatan Perempuan,2021,32.23,SULAWESI UTARA
Sumbangan Pendapatan Perempuan,2021,31.06,SULAWESI TENGAH
Sumbangan Pendapatan Perempuan,2021,32.51,SULAWESI SELATAN
Sumbangan Pendapatan Perempuan,2021,36.15,SULAWESI TENGGARA
Sumbangan Pendapatan Perempuan,2021,26.9,GORONTALO
Sumbangan Pendapatan Perempuan,2021,36.59,SULAWESI BARAT
Sumbangan Pendapatan Perempuan,2021,37.19,MALUKU
Sumbangan Pendapatan Perempuan,2021,36.54,MALUKU UTARA
Sumbangan Pendapatan Perempuan,2021,28.28,PAPUA BARAT
Sumbangan Pendapatan Perempuan,2021,36.92,PAPUA
Sumbangan Pendapatan Perempuan,2021,37.22,INDONESIA
Sumbangan Pendapatan Perempuan,2020,34.83,ACEH
Sumbangan Pendapatan Perempuan,2020,36.12,SUMATERA UTARA
Sumbangan Pendapatan Perempuan,2020,37.57,SUMATERA BARAT
Sumbangan Pendapatan Perempuan,2020,28.31,RIAU
Sumbangan Pendapatan Perempuan,2020,30.26,JAMBI
Sumbangan Pendapatan Perempuan,2020,34.99,SUMATERA SELATAN
Sumbangan Pendapatan Perempuan,2020,35.24,BENGKULU
Sumbangan Pendapatan Perempuan,2020,29.52,LAMPUNG
Sumbangan Pendapatan Perempuan,2020,26.89,KEP. BANGKA BELITUNG
Sumbangan Pendapatan Perempuan,2020,28.83,KEP. RIAU
Sumbangan Pendapatan Perempuan,2020,38.06,DKI JAKARTA
Sumbangan Pendapatan Perempuan,2020,30.1,JAWA BARAT
Sumbangan Pendapatan Perempuan,2020,34.29,JAWA TENGAH
Sumbangan Pendapatan Perempuan,2020,40.82,DI YOGYAKARTA
Sumbangan Pendapatan Perempuan,2020,35.81,JAWA TIMUR
Sumbangan Pendapatan Perempuan,2020,31.74,BANTEN
Sumbangan Pendapatan Perempuan,2020,38.55,BALI
Sumbangan Pendapatan Perempuan,2020,33.11,NUSA TENGGARA BARAT
Sumbangan Pendapatan Perempuan,2020,43.56,NUSA TENGGARA TIMUR
Sumbangan Pendapatan Perempuan,2020,35.21,KALIMANTAN BARAT
Sumbangan Pendapatan Perempuan,2020,33.63,KALIMANTAN TENGAH
Sumbangan Pendapatan Perempuan,2020,36.51,KALIMANTAN SELATAN
Sumbangan Pendapatan Perempuan,2020,24.17,KALIMANTAN TIMUR
Sumbangan Pendapatan Perempuan,2020,26.58,KALIMANTAN UTARA
Sumbangan Pendapatan Perempuan,2020,32.5,SULAWESI UTARA
Sumbangan Pendapatan Perempuan,2020,31.1,SULAWESI TENGAH
Sumbangan Pendapatan Perempuan,2020,32.55,SULAWESI SELATAN
Sumbangan Pendapatan Perempuan,2020,36.27,SULAWESI TENGGARA
Sumbangan Pendapatan Perempuan,2020,27.03,GORONTALO
Sumbangan Pendapatan Perempuan,2020,36.57,SULAWESI BARAT
Sumbangan Pendapatan Perempuan,2020,37.22,MALUKU
Sumbangan Pendapatan Perempuan,2020,36.75,MALUKU UTARA
Sumbangan Pendapatan Perempuan,2020,27.82,PAPUA BARAT
Sumbangan Pendapatan Perempuan,2020,36.61,PAPUA
Sumbangan Pendapatan Perempuan,2020,37.26,INDONESIA
Sumbangan Pendapatan Perempuan,2019,34.59,ACEH
Sumbangan Pendapatan Perempuan,2019,36.15,SUMATERA UTARA
Sumbangan Pendapatan Perempuan,2019,37.51,SUMATERA BARAT
Sumbangan Pendapatan Perempuan,2019,28.23,RIAU
Sumbangan Pendapatan Perempuan,2019,30.23,JAMBI
Sumbangan Pendapatan Perempuan,2019,34.85,SUMATERA SELATAN
Sumbangan Pendapatan Perempuan,2019,35.25,BENGKULU
Sumbangan Pendapatan Perempuan,2019,29.38,LAMPUNG
Sumbangan Pendapatan Perempuan,2019,26.84,KEP. BANGKA BELITUNG
Sumbangan Pendapatan Perempuan,2019,28.61,KEP. RIAU
Sumbangan Pendapatan Perempuan,2019,37.94,DKI JAKARTA
Sumbangan Pendapatan Perempuan,2019,29.94,JAWA BARAT
Sumbangan Pendapatan Perempuan,2019,34.31,JAWA TENGAH
Sumbangan Pendapatan Perempuan,2019,40.85,DI YOGYAKARTA
Sumbangan Pendapatan Perempuan,2019,35.68,JAWA TIMUR
Sumbangan Pendapatan Perempuan,2019,31.62,BANTEN
Sumbangan Pendapatan Perempuan,2019,38.61,BALI
Sumbangan Pendapatan Perempuan,2019,32.91,NUSA TENGGARA BARAT
Sumbangan Pendapatan Perempuan,2019,43.33,NUSA TENGGARA TIMUR
Sumbangan Pendapatan Perempuan,2019,35.06,KALIMANTAN BARAT
Sumbangan Pendapatan Perempuan,2019,33.4,KALIMANTAN TENGAH
Sumbangan Pendapatan Perempuan,2019,36.34,KALIMANTAN SELATAN
Sumbangan Pendapatan Perempuan,2019,24.06,KALIMANTAN TIMUR
Sumbangan Pendapatan Perempuan,2019,26.33,KALIMANTAN UTARA
Sumbangan Pendapatan Perempuan,2019,32.39,SULAWESI UTARA
Sumbangan Pendapatan Perempuan,2019,30.87,SULAWESI TENGAH
Sumbangan Pendapatan Perempuan,2019,32.44,SULAWESI SELATAN
Sumbangan Pendapatan Perempuan,2019,36.1,SULAWESI TENGGARA
Sumbangan Pendapatan Perempuan,2019,26.93,GORONTALO
Sumbangan Pendapatan Perempuan,2019,36.32,SULAWESI BARAT
